Identifier	Character	Dialogue	Filename	Line Number
shrine_f7d63c56	d	Though there used to be some pretty MLG anime on TV.	/home/stefan/bin/script.rpyc	754
shrine_ee66dc42	r	So our reality is visible in your televison, interesting.	/home/stefan/bin/script.rpyc	755
shrine_dce5f24a	d	Whatever, how the hell do I get back?!	/home/stefan/bin/script.rpyc	756
shrine_30281c33	d	I'm so late for my Dew!	/home/stefan/bin/script.rpyc	757
shrine_a1d957f1	r	I am not aware of any way to venture through realms.	/home/stefan/bin/script.rpyc	758
shrine_a46a5951	r	But since you already did it once there surely must be a way.	/home/stefan/bin/script.rpyc	759
shrine_8aac220f	r	I can't directly help you, but maybe you'll find someone to assisst you in the next town.	/home/stefan/bin/script.rpyc	760
shrine_0f6ec8a7	r	Here take this map, it will lead you there.	/home/stefan/bin/script.rpyc	761
shrine_0e761bf5		---Duane received a map of the Animu Land---	/home/stefan/bin/script.rpyc	762
shrine_0f293fc2	d	It won't even be visible on my HUD?	/home/stefan/bin/script.rpyc	763
shrine_8a1d112a	d	Maaan.	/home/stefan/bin/script.rpyc	764
shrine_ca3f4447	d	But thanks, I suppose.	/home/stefan/bin/script.rpyc	765
shrine_a02c5a23	r	Stay safe.	/home/stefan/bin/script.rpyc	766
shrine_173cf8c8	r	This world is likely very different to yours.	/home/stefan/bin/script.rpyc	767
shrine_60c7697c	r	I'm sure we'll cross paths again.	/home/stefan/bin/script.rpyc	768
shrine_3e57876f	d	Thanks!	/home/stefan/bin/script.rpyc	769
shrine_8c35a1ef		What did she mean by that?	/home/stefan/bin/script.rpyc	770
shrine_69355ce0		And so Duane made way for the next big city.	/home/stefan/bin/script.rpyc	776
shrine_16265979		What will he encounter on his bizarre adventure through this new world?	/home/stefan/bin/script.rpyc	777
shrine_79e9d0a2		I'm sure that even here, lots of MLG adventures await our hero!	/home/stefan/bin/script.rpyc	778
town_e2eb3c7d	d	So this is it, huh?	/home/stefan/bin/script.rpyc	790
town_a89d2b18	d	This is one big city.	/home/stefan/bin/script.rpyc	796
town_fcb0ecfd	d	Reimu said, I should look around and talk to people in order to find out how to get back.	/home/stefan/bin/script.rpyc	797
town_09814730		Where do I start?	/home/stefan/bin/script.rpyc	798
town_19c0fe46		Let's see...	/home/stefan/bin/script.rpyc	799
town_85ea4001		I can see an Arcade over there.	/home/stefan/bin/script.rpyc	800
town_810e9cde		It's been a while since I practiced my quickscoping, so a quick game wouldn't hurt.	/home/stefan/bin/script.rpyc	801
town_18c79be8		And maybe I'll find someone to help me out there.	/home/stefan/bin/script.rpyc	802
town_a33db64b		There's also a mall close by.	/home/stefan/bin/script.rpyc	803
town_93fb2de1		I could go there to check if they have some dew.	/home/stefan/bin/script.rpyc	804
town_6782fd05		Though Reimu said there's no such thing here...	/home/stefan/bin/script.rpyc	805
town_373639ce		There's even a river going through the town.	/home/stefan/bin/script.rpyc	806
town_b0d06748		Isn't that where tough guys have their manly battles and romances start to bloom in anime?	/home/stefan/bin/script.rpyc	807
town_29e3108a		Not that I watch any of that.	/home/stefan/bin/script.rpyc	808
town_13d174ad		But maybe there'll be something of use there.	/home/stefan/bin/script.rpyc	809
town_de27be40		I could also just try to talk to some of the people walking around here.	/home/stefan/bin/script.rpyc	810
town_54d1f14a		At least one of them has got to know something right?	/home/stefan/bin/script.rpyc	811
town_c771733f		Hmm, I think I'll...	/home/stefan/bin/script.rpyc	812
townHub_79b50469	d	How the fuck did I end up here again?	/home/stefan/bin/script.rpyc	825
townHub_68d3f581	d	I really suck at this!	/home/stefan/bin/script.rpyc	826
townHub_fbb308b8		lul	/home/stefan/bin/script.rpyc	831
townHub_fcbb8bd3		I really need to get that dew now.	/home/stefan/bin/script.rpyc	835
townHub_24fb198c		Might as well check the mall.	/home/stefan/bin/script.rpyc	836
townHub_3ad7fd79	"That Man"	Harro!	/home/stefan/bin/script.rpyc	843
townHub_40836799	lu	Ohohohohoho!	/home/stefan/bin/script.rpyc	850
arcade_574f4a9f		FILLER	/home/stefan/bin/script.rpyc	858
mall_a5e5b7f2	d	This mall is fucking huge.	/home/stefan/bin/script.rpyc	868
mall_f2b25257	d	I wonder if I'll even be able to locate any dew in here.	/home/stefan/bin/script.rpyc	869
mall_09408c83	d	Even though I was told there is no dew here, I can not believe such a thing.	/home/stefan/bin/script.rpyc	870
mall_02176627	d	How would the people live without it?	/home/stefan/bin/script.rpyc	871
mall_91fd9d46	d	There must be something that's at least similiar to dew here.	/home/stefan/bin/script.rpyc	872
mall_2f2dd27a	d	I will...	/home/stefan/bin/script.rpyc	873
mall_e2130399	d	It can't be that hard to find something here.	/home/stefan/bin/script.rpyc	877
mall_efe1c697		Duane spent a couple of hours looking through the mall.	/home/stefan/bin/script.rpyc	880
mall_ae203151	d	I don't think I'll be able to find anything in here by myself.	/home/stefan/bin/script.rpyc	885
mall_9d22e788	d	I'll just ask that girl over there I suppose.	/home/stefan/bin/script.rpyc	886
mall_98acb114	d	Yo excuse me!	/home/stefan/bin/script.rpyc	891
mall_e7dd1195	mb	Eh?	/home/stefan/bin/script.rpyc	892
mall_accee0e7	mb	What the fuck?	/home/stefan/bin/script.rpyc	893
mall_bf1ce630	mb	You talking to me?	/home/stefan/bin/script.rpyc	894
mall_9cce41a4		This chick's kinda hot.	/home/stefan/bin/script.rpyc	895
mall_bb1d7073		Better watch out what I'm gonna say next.	/home/stefan/bin/script.rpyc	896
mall_78e834e0	mb	What kind of stuck up little bitch are you?	/home/stefan/bin/script.rpyc	900
mall_d2179ebb	mb	Ugh... Excuse me?	/home/stefan/bin/script.rpyc	904
mall_aeda791f	mb	Could you fucking ask me that in a human language again?	/home/stefan/bin/script.rpyc	905
mall_02285eee	mb	...	/home/stefan/bin/script.rpyc	909
mall_6b213223	mb	Are you fucking retarded or something?	/home/stefan/bin/script.rpyc	910
mbRoute_9d5b4a43	mb	Whatever.	/home/stefan/bin/script.rpyc	915
mbRoute_c6911f22	mb	Just... like...	/home/stefan/bin/script.rpyc	916
mbRoute_7bba9d13	mb	Go over there.	/home/stefan/bin/script.rpyc	917
mbRoute_d2f138c8	d	Thanks a lot bye!	/home/stefan/bin/script.rpyc	918
mbRoute_02285eee	mb	...	/home/stefan/bin/script.rpyc	919
mbRoute_8a0d59ed	mb	What a dweeb.	/home/stefan/bin/script.rpyc	920
mbRoute_7f1aef8e		Duane went into the general direction he was pointed to.	/home/stefan/bin/script.rpyc	927
mbRoute_c26f8d1d		He actually managed to find some dew!	/home/stefan/bin/script.rpyc	928
mbRoute_180e3324		But on close inspection, he noticed something was off.	/home/stefan/bin/script.rpyc	933
mbRoute_52a43770		Much to his dissapointment it was only a knockoff.	/home/stefan/bin/script.rpyc	934
mbRoute_949d0a7a		Some kind of Japanese vegetable juice.	/home/stefan/bin/script.rpyc	941
mbRoute_b92a3570	d	Well, I already went all this way.	/home/stefan/bin/script.rpyc	942
mbRoute_c9c77dbd	d	And I'm way too late to be picky anyway.	/home/stefan/bin/script.rpyc	943
mbRoute_bb269d42	d	Might as well get this...	/home/stefan/bin/script.rpyc	944
mbRoute_d68726ef		Duane paid exactly 200 Yen.	/home/stefan/bin/script.rpyc	945
mbRoute_ca7ca30c		---Duane received Popipo---	/home/stefan/bin/script.rpyc	946
mbRoute_e273bcbd	d	It's better than nothing I suppose.	/home/stefan/bin/script.rpyc	951
timewaster_fed61d70	d	I still have some time left.	/home/stefan/bin/script.rpyc	956
timewaster_e4a856be	d	So I'll...	/home/stefan/bin/script.rpyc	957
timewaster_111b7272	d	Wow there's so much to see!	/home/stefan/bin/script.rpyc	963
timewaster_9eccd1e7	d	It's impossible to explore everything in just a single day!	/home/stefan/bin/script.rpyc	964
timewaster_ca953cff	d	I think there's nothing else to do here.	/home/stefan/bin/script.rpyc	970
timewaster_9648a125	d	For now...	/home/stefan/bin/script.rpyc	971
timewaster_b7dca365	d	I'll just head back.	/home/stefan/bin/script.rpyc	972
saveMb_68ff3748	d	It's kinda late already.	/home/stefan/bin/script.rpyc	984
saveMb_85977751		As Duane walks down the street, he notices someone familiar.	/home/stefan/bin/script.rpyc	985
saveMb_0433e965	y	Excuse me Miss, but could you please point me to the direction of this district's French Bakery?	/home/stefan/bin/script.rpyc	990
saveMb_2c9d8806	y	I need to pick up a birthday cake for my little sister there.	/home/stefan/bin/script.rpyc	991
saveMb_babfefec	mb	Ugh...	/home/stefan/bin/script.rpyc	992
saveMb_3c98a36d	mb	Do I look like a fucking tourist guide to you?	/home/stefan/bin/script.rpyc	993
saveMb_00270ad7	mb	I don't know no French Bakery around here.	/home/stefan/bin/script.rpyc	994
saveMb_6abead28		Huh, she's with somebody else.	/home/stefan/bin/script.rpyc	995
saveMb_f8ebd152		I can't really tell what their talking about, but she looks kinda distressed.	/home/stefan/bin/script.rpyc	996
saveMb_cb85cdab		That guy is obviously dangerous!	/home/stefan/bin/script.rpyc	997
saveMb_c3e5ca8d		I gotta step in!	/home/stefan/bin/script.rpyc	998
saveMb_0bc0afa2	y	I'm terribly sorry to have bothered you then.	/home/stefan/bin/script.rpyc	999
saveMb_c45ece29	y	I will go and ask somebo-	/home/stefan/bin/script.rpyc	1000
saveMb_17928eaf	d	Hey! What the hell do you think you're doing?	/home/stefan/bin/script.rpyc	1001
saveMb_f8c8f2a5	d	Could you piss off and leave her alone!?	/home/stefan/bin/script.rpyc	1002
saveMb_d1642ce7	y	Huh?	/home/stefan/bin/script.rpyc	1003
saveMb_9815742b	y	Are you perhaps talking to me?	/home/stefan/bin/script.rpyc	1004
saveMb_e9eeba80	d	Damn straight I am.	/home/stefan/bin/script.rpyc	1005
saveMb_98ba2c76	d	Now make like a fly and fuck off m8.	/home/stefan/bin/script.rpyc	1006
saveMb_490c0f28	d	Better back the fuck up before you get smacked the fuck up!	/home/stefan/bin/script.rpyc	1007
saveMb_95c17ec7	y	Excuse me young man! I didn't realize I was such a bother.	/home/stefan/bin/script.rpyc	1008
saveMb_2270e7b0	y	I will take leave immediately.	/home/stefan/bin/script.rpyc	1009
saveMb_dfc0a389	y	Have a good evening, sir.	/home/stefan/bin/script.rpyc	1010
saveMb_4f45d16d	y	And to you too M'Lady.	/home/stefan/bin/script.rpyc	1011
saveMb_cd9e6a62	y	*Tips Katana*	/home/stefan/bin/script.rpyc	1012
saveMb_4bba979c		With that the Yakuza left.	/home/stefan/bin/script.rpyc	1017
saveMb_950201b2	d	Everything alright...	/home/stefan/bin/script.rpyc	1018
saveMb_d47356f1		I just realized I don't even know her name yet.	/home/stefan/bin/script.rpyc	1019
saveMb_62c5b60e	d	Ah you're that girl from before!	/home/stefan/bin/script.rpyc	1020
saveMb_bab82eac	d	I didn't even ask you for your name yet.	/home/stefan/bin/script.rpyc	1021
saveMb_5c990d6a	d	You really helped me out back there.	/home/stefan/bin/script.rpyc	1022
saveMb_018f34d4		Sorta.	/home/stefan/bin/script.rpyc	1023
saveMb_aea8c012	mb	Sure.	/home/stefan/bin/script.rpyc	1024
saveMb_9d5b4a43	mb	Whatever.	/home/stefan/bin/script.rpyc	1025
saveMb_0623a241	mb	You know what? Normally I wouldn't talk to guys like you.	/home/stefan/bin/script.rpyc	1026
saveMb_53b60a55	mb	But since you got that annoying dick off my back, I guess can make an exception.	/home/stefan/bin/script.rpyc	1027
saveMb_cdd71672	ab	The name's Audrey Belrose.	/home/stefan/bin/script.rpyc	1028
saveMb_f1a173c7	ab	But don't get any ideas. Don't get used to such treatment.	/home/stefan/bin/script.rpyc	1029
saveMb_d060b8c0		Audrey Belrose, what a lovely name.	/home/stefan/bin/script.rpyc	1030
saveMb_10c5cba1	d	My name's Duane, and I got the sickest moves at MLG Academy.	/home/stefan/bin/script.rpyc	1031
saveMb_c25d0c44	ab	MLG Academy..., you still go to school?	/home/stefan/bin/script.rpyc	1032
saveMb_0fb0b221	ab	What a fucking waste of time.	/home/stefan/bin/script.rpyc	1033
saveMb_a74d00da	d	Watch it m80.	/home/stefan/bin/script.rpyc	1034
saveMb_af6961ca	d	That shit's off the hook.	/home/stefan/bin/script.rpyc	1035
saveMb_11703231	d	We smoke weed everday, drink dew, eat doritoes and noscope scrublords everday.	/home/stefan/bin/script.rpyc	1036
saveMb_beaa401e	ab	A school that allows weed, huh?	/home/stefan/bin/script.rpyc	1037
saveMb_c8211d9e	ab	Don't think I got the whole night to talk with you.	/home/stefan/bin/script.rpyc	1038
saveMb_ef3e5265	ab	I gotta go now, I've got more important things to do.	/home/stefan/bin/script.rpyc	1039
saveMb_0087ac69		Whoa what a hottie!	/home/stefan/bin/script.rpyc	1040
saveMb_b69177c0		I'll rate 8/8 m80.	/home/stefan/bin/script.rpyc	1041
saveMb_80fed8ef		And she has obviously completely fallen for me.	/home/stefan/bin/script.rpyc	1042
saveMb_a23c7898		Unlike with that weird girl at the riverside, I'm sure I won't get friendzoned this time!	/home/stefan/bin/script.rpyc	1045
riverside_d3c4154c	d	For some reason I feel compelled to go to the Riverside.	/home/stefan/bin/script.rpyc	1052
riverside_338915cf	d	There's nothing else for me to do here.	/home/stefan/bin/script.rpyc	1062
riverside_8279ba3d	d	I should get back to the city and pick another spot	/home/stefan/bin/script.rpyc	1063
riverside_823b8fc1		Duane arrived at the riverside on his search for information.	/home/stefan/bin/script.rpyc	1066
riverside_7b35eec3		The wind is pretty strong today.	/home/stefan/bin/script.rpyc	1068
riverside_73407fca	d	Hmm, it looks pretty neat here.	/home/stefan/bin/script.rpyc	1069
riverside_fb28f372	d	My dank sense is tingling.	/home/stefan/bin/script.rpyc	1070
riverside_39025c78	d	I feel a strange kind of atmosphere here.	/home/stefan/bin/script.rpyc	1071
riverside_6e94742b	d	Even the wind seems somewhat...	/home/stefan/bin/script.rpyc	1072
riverside_3219b02b	d	troubled.	/home/stefan/bin/script.rpyc	1073
riverside_405cea68	d	There doesn't seem to be anyone around.	/home/stefan/bin/script.rpyc	1074
riverside_d577f30e	d	It won't help me at all with my problem but...	/home/stefan/bin/script.rpyc	1075
riverside_5138b6b0	d	Maybe I should sit down for a while and review stuff for class.	/home/stefan/bin/script.rpyc	1076
riverside_98f15ad9	d	It seems pretty chill here.	/home/stefan/bin/script.rpyc	1077
riverside_eaa8db47	d	That may be just a waste of time though.	/home/stefan/bin/script.rpyc	1078
riverside_188c80bb	d	I need to find someone to help me after all.	/home/stefan/bin/script.rpyc	1079
riverside_58a187f2	d	I think I'll...	/home/stefan/bin/script.rpyc	1080
riverside_6386f09a	d	Maaan, I can spare a bit of time here.	/home/stefan/bin/script.rpyc	1085
riverside_1f02e49f	d	There's something about this place.	/home/stefan/bin/script.rpyc	1086
riverside_0e861c72	d	What the fuck was this all about?	/home/stefan/bin/script.rpyc	1095
riverside_6239b393	d	Why did I turn into such an autistic spaghetty monster there?!	/home/stefan/bin/script.rpyc	1096
riverside_2cf33802	d	FUCK! FUCK! FUCK!	/home/stefan/bin/script.rpyc	1097
riverside_a7fa9882	d	That was in no way MLG!	/home/stefan/bin/script.rpyc	1098
riverside_b2e5f300	d	Should've just gone with "The wind is troubled." or some stupid shit like that.	/home/stefan/bin/script.rpyc	1099
riverside_3df7ce2f	d	Fucking friendzoned again.	/home/stefan/bin/script.rpyc	1100
riverside_ac5e9308	d	Jesus.	/home/stefan/bin/script.rpyc	1101
riverside_bfbfab5e	d	Moping around here will not get me anywhere either though.	/home/stefan/bin/script.rpyc	1102
riverside_c27f2184	d	I should get back to the city and make a plan on where to go next.	/home/stefan/bin/script.rpyc	1103
riverside_46baecec	d	As inviting as this looks, I simply lack the time to sit around here.	/home/stefan/bin/script.rpyc	1111
riverside_d71997d5	d	I'll head back to the town to see where I'll go next.	/home/stefan/bin/script.rpyc	1112
riverside_70da0244		As Duane left a feeling striked him.	/home/stefan/bin/script.rpyc	1118
riverside_121c7590		A feeling that made him aware that he missed out on something important.	/home/stefan/bin/script.rpyc	1119
riverside_21bda3fb		A fated encounter so to speak.	/home/stefan/bin/script.rpyc	1120
riverside_9218791b		There was something about this place after all.	/home/stefan/bin/script.rpyc	1121
riverside_670923c8		Is Duane's Spring of Youth now over?	/home/stefan/bin/script.rpyc	1122
riverside_213cf8b7		Will he not encounter any romance in the days of his passionate youth?	/home/stefan/bin/script.rpyc	1123
riverside_4d0edfbc		One can only continue to watch him on his adventure to find out.	/home/stefan/bin/script.rpyc	1124
